time,blocknumber,event,price,ETH_Pool,STETH_Pool,Volume
2021-07-12,12815421,AddLiquidity,1.0000387387298135,448710.88801671687,471246.7562723691,3094.758103619225
2021-07-13,12821674,AddLiquidity,0.998614365577372,448420.5054771477,471567.0776824194,1610.2747300338856
2021-07-14,12828155,AddLiquidity,1.0000267350807417,450085.170326565,472981.012385608,1849.5902535608825
2021-07-15,12834358,AddLiquidity,0.9985505684708736,449640.1359990472,474252.97049012536,2949.7786973025995
2021-07-16,12840957,TokenExchange,0.9996513049414758,458382.27749239205,476208.9105172237,6484.07751716785
2021-07-17,12847311,AddLiquidity,0.999588575281793,458130.99589939526,476683.9870933442,2553.901936649403
2021-07-18,12853573,AddLiquidity,1.00021425948983,458078.3535116477,476808.8227572132,2126.214891254056
2021-07-19,12860131,TokenExchange,0.9986696699989596,457585.0667072537,479818.3209253168,2655.7594569331654
2021-07-20,12866377,AddLiquidity,0.9991177402492238,475894.34879990807,487820.3987276438,21397.517076352848
2021-07-21,12872816,TokenExchange,0.9985201448245152,468414.3684094722,494937.7242358685,9124.282492702596
2021-07-22,12879223,AddLiquidity,0.99960517845607,477248.2201728814,496975.47907040233,8201.77814206181
2021-07-23,12885626,TokenExchange,0.99888701378018,479089.81838693545,496837.5289412513,2387.9673055633234
2021-07-24,12892108,AddLiquidity,0.9991349370666444,483561.7946794423,495174.9237899474,4127.908363359503
2021-07-25,12898490,AddLiquidity,1.0006334706484263,486240.757555288,495431.6225789867,2208.6935529550947
2021-07-26,12904821,TokenExchange,0.9993813903223852,489351.06084921455,494831.6338961355,3069.346503115283
2021-07-27,12911026,AddLiquidity,0.9983078504631773,490508.8184015272,508114.98932346737,4251.095239170587
2021-07-28,12917402,TokenExchange,0.9990956368238292,495653.93507914967,508571.8171322382,9601.860831478456
2021-07-29,12923749,TokenExchange,0.9993362616734812,502354.6436316584,509045.4403405367,6107.342061586467
2021-07-30,12929928,TokenExchange,0.9993723564037298,503683.5727979778,509560.03855920857,2092.990596827464
2021-07-31,12936289,AddLiquidity,0.9982490049266369,493595.17866034777,512874.3005631361,9416.466754949653
2021-08-01,12942551,TokenExchange,0.9990284573560008,500827.1806994896,515341.5910752335,4658.325750356888
2021-08-02,12949027,TokenExchange,0.9990516414016328,502817.519892995,517062.7828231044,2821.638213659404
2021-08-03,12955382,AddLiquidity,0.9949021710159666,440402.1280105392,541194.0607585777,47736.911332001815
2021-08-04,12961703,RemoveLiquidityOne,0.9949526507815677,442717.7171361202,542709.4442642468,5690.971967433958
2021-08-05,12966697,AddLiquidity,0.9968247301452138,420966.56772012624,504034.2343135071,5007.392503440895
